Author: Spencer Rodgers, Date 1/6/2021, Score = 1.15154, Intercept Time = 1.7
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,-120.264,338.256,0,359,0
1.17934,3.53865,-118.158,338.924,-0.0580119,355.984,0.01
2.35,7.08019,-116.056,339.606,-0.101218,352.978,0.02
3.51267,10.6243,-113.958,340.303,-0.130293,349.982,0.03
4.66798,14.1709,-111.866,341.015,-0.145896,346.997,0.04
5.81651,17.7197,-109.779,341.742,-0.148671,344.024,0.05
6.9588,21.2705,-107.697,342.483,-0.139251,341.062,0.06
8.09532,24.8231,-105.621,343.239,-0.118247,338.113,0.07
9.22653,28.3774,-103.549,344.01,-0.0862561,335.175,0.08
10.3528,31.9333,-101.484,344.796,-0.0438585,332.251,0.09
11.4746,35.4907,-99.4238,345.596,0.00838463,329.339,0.1
12.5921,39.0493,-97.3696,346.411,0.0699295,326.44,0.11
13.7057,42.6092,-95.3211,347.241,0.14025,323.554,0.12
14.8156,46.1703,-93.2786,348.085,0.218839,320.682,0.13
15.922,49.7324,-91.2422,348.943,0.305206,317.823,0.14
17.0253,53.2955,-89.2118,349.816,0.398878,314.977,0.15
18.1254,56.8595,-87.1878,350.703,0.499402,312.146,0.16
19.2226,60.4245,-85.17,351.605,0.606339,309.328,0.17
20.317,63.9903,-83.1588,352.521,0.719269,306.524,0.18
21.4088,67.557,-81.154,353.451,0.83779,303.734,0.19
22.4979,71.1245,-79.156,354.395,0.961512,300.958,0.2
23.5844,74.6927,-77.1646,355.354,1.09006,298.196,0.21
24.6685,78.2617,-75.1801,356.326,1.22309,295.448,0.22
25.75,81.8314,-73.2026,357.313,1.36025,292.714,0.23
26.8291,85.4019,-71.2321,358.314,1.50122,289.995,0.24
27.9058,88.9732,-69.2688,359.328,1.64569,287.289,0.25
28.9799,92.5452,-67.3127,360.357,1.79336,284.597,0.26
30.0516,96.1179,-65.364,361.399,1.94394,281.919,0.27
31.1206,99.6914,-63.4227,362.455,2.09716,279.255,0.28
32.1871,103.266,-61.4889,363.525,2.25277,276.605,0.29
33.251,106.841,-59.5628,364.609,2.41051,273.969,0.3
34.3121,110.417,-57.6444,365.706,2.57016,271.346,0.31
35.3705,113.993,-55.7339,366.817,2.7315,268.737,0.32
36.426,117.571,-53.8313,367.941,2.8943,266.142,0.33
37.4785,121.149,-51.9367,369.079,3.05836,263.561,0.34
38.528,124.729,-50.0502,370.23,3.22351,260.993,0.35
39.5743,128.309,-48.172,371.395,3.38955,258.438,0.36
40.6174,131.89,-46.3021,372.573,3.55631,255.897,0.37
41.6571,135.472,-44.4405,373.764,3.72363,253.369,0.38
42.6934,139.055,-42.5875,374.968,3.89136,250.854,0.39
43.7261,142.64,-40.743,376.186,4.05935,248.352,0.4
44.7551,146.225,-38.9073,377.416,4.22747,245.863,0.41
45.7802,149.811,-37.0803,378.66,4.39558,243.388,0.42
46.8015,153.399,-35.2622,379.916,4.56356,240.924,0.43
47.8186,156.987,-33.453,381.185,4.7313,238.474,0.44
48.8316,160.577,-31.6529,382.467,4.89869,236.036,0.45
49.8403,164.168,-29.8619,383.762,5.06562,233.611,0.46
50.8445,167.76,-28.0802,385.07,5.23202,231.198,0.47
51.8441,171.354,-26.3078,386.39,5.39777,228.797,0.48
52.8391,174.949,-24.5448,387.722,5.56281,226.409,0.49
53.8292,178.545,-22.7913,389.068,5.72706,224.032,0.5
54.8143,182.143,-21.0474,390.425,5.89044,221.668,0.51
55.7943,185.742,-19.3131,391.795,6.05288,219.315,0.52
56.7691,189.342,-17.5887,393.177,6.21433,216.974,0.53
57.7385,192.944,-15.874,394.571,6.37472,214.645,0.54
58.7025,196.547,-14.1693,395.978,6.53401,212.327,0.55
59.6608,200.152,-12.4747,397.396,6.69214,210.021,0.56
60.6133,203.758,-10.7901,398.827,6.84908,207.726,0.57
61.56,207.366,-9.11574,400.269,7.00477,205.443,0.58
62.5006,210.975,-7.45164,401.724,7.15918,203.17,0.59
63.4351,214.586,-5.79791,403.19,7.31228,200.909,0.6
64.3633,218.199,-4.15462,404.667,7.46404,198.658,0.61
65.285,221.813,-2.52185,406.157,7.61443,196.418,0.62
66.2003,225.429,-0.899693,407.658,7.76343,194.189,0.63
67.1089,229.047,0.711776,409.17,7.91101,191.971,0.64
68.0106,232.666,2.31247,410.694,8.05715,189.763,0.65
68.9055,236.288,3.90232,412.229,8.20184,187.565,0.66
69.7934,239.91,5.48123,413.775,8.34506,185.378,0.67
70.674,243.535,7.04914,415.333,8.4868,183.201,0.68
71.5474,247.161,8.60595,416.901,8.62705,181.034,0.69
72.4134,250.789,10.1516,418.481,8.7658,178.877,0.7
73.2718,254.419,11.686,420.071,8.90305,176.73,0.71
74.1226,258.051,13.2091,421.673,9.03879,174.593,0.72
74.9656,261.684,14.7207,423.285,9.17302,172.465,0.73
75.8008,265.32,16.221,424.908,9.30573,170.347,0.74
76.6279,268.957,17.7096,426.541,9.43692,168.238,0.75
77.4469,272.596,19.1866,428.185,9.56661,166.139,0.76
78.2577,276.236,20.6519,429.839,9.69477,164.05,0.77
79.0602,279.879,22.1055,431.504,9.82143,161.969,0.78
79.8542,283.524,23.5472,433.179,9.94659,159.897,0.79
80.6396,287.17,24.977,434.864,10.0702,157.835,0.8
81.4163,290.818,26.3948,436.559,10.1924,155.781,0.81
82.1843,294.468,27.8005,438.265,10.3131,153.737,0.82
82.9434,298.12,29.1941,439.98,10.4323,151.701,0.83
83.6935,301.774,30.5755,441.705,10.55,149.674,0.84
84.4344,305.43,31.9446,443.44,10.6662,147.655,0.85
85.1662,309.087,33.3013,445.184,10.781,145.645,0.86
85.8887,312.747,34.6457,446.938,10.8944,143.643,0.87
86.6017,316.408,35.9776,448.702,11.0063,141.649,0.88
87.3052,320.071,37.2969,450.475,11.1168,139.664,0.89
87.9992,323.736,38.6036,452.257,11.2259,137.687,0.9
88.6834,327.402,39.8977,454.049,11.3336,135.718,0.91
89.3577,331.071,41.179,455.849,11.4399,133.757,0.92
90.0222,334.741,42.4474,457.659,11.5448,131.803,0.93
90.6767,338.413,43.7031,459.478,11.6483,129.858,0.94
91.3211,342.087,44.9457,461.305,11.7505,127.92,0.95
91.9553,345.763,46.1754,463.142,11.8514,125.99,0.96
92.5792,349.441,47.3921,464.987,11.9509,124.068,0.97
93.1928,353.12,48.5956,466.84,12.0491,122.153,0.98
93.7959,356.801,49.7859,468.702,12.146,120.245,0.99
94.3884,360.483,50.963,470.573,12.2416,118.345,1
94.9703,364.168,52.1267,472.451,12.336,116.452,1.01
95.5414,367.854,53.2772,474.338,12.4291,114.566,1.02
96.1018,371.541,54.4142,476.234,12.5209,112.687,1.03
96.6512,375.231,55.5377,478.137,12.6115,110.815,1.04
97.1897,378.922,56.6477,480.048,12.7008,108.95,1.05
97.7171,382.614,57.7441,481.966,12.789,107.092,1.06
98.2334,386.308,58.8269,483.893,12.8759,105.241,1.07
98.7384,390.004,59.896,485.827,12.9617,103.397,1.08
99.2322,393.701,60.9513,487.769,13.0462,101.559,1.09
99.7145,397.4,61.9928,489.718,13.1297,99.7278,1.1
100.185,401.1,63.0205,491.675,13.2119,97.9032,1.11
100.645,404.801,64.0343,493.638,13.2931,96.0851,1.12
101.092,408.504,65.0341,495.609,13.3731,94.2734,1.13
101.529,412.209,66.0198,497.587,13.452,92.4681,1.14
101.953,415.915,66.9916,499.572,13.5298,90.6691,1.15
102.365,419.622,67.9492,501.564,13.6065,88.8763,1.16
102.766,423.33,68.8927,503.562,13.6822,87.0896,1.17
103.154,427.04,69.822,505.568,13.7567,85.3091,1.18
103.531,430.751,70.737,507.579,13.8303,83.5347,1.19
103.895,434.463,71.6377,509.597,13.9028,81.7663,1.2
104.248,438.176,72.5241,511.622,13.9742,80.0038,1.21
104.587,441.891,73.3961,513.653,14.0447,78.2473,1.22
104.915,445.606,74.2536,515.689,14.1141,76.4967,1.23
105.23,449.323,75.0967,517.732,14.1826,74.7519,1.24
105.533,453.041,75.9253,519.781,14.2501,73.013,1.25
105.824,456.759,76.7393,521.836,14.3166,71.2797,1.26
106.101,460.479,77.5388,523.896,14.3821,69.5523,1.27
106.366,464.2,78.3236,525.962,14.4467,67.8305,1.28
106.619,467.921,79.0937,528.033,14.5104,66.1145,1.29
106.858,471.643,79.8491,530.11,14.5731,64.4041,1.3
107.085,475.367,80.5897,532.193,14.6349,62.6994,1.31
107.299,479.09,81.3155,534.28,14.6958,61.0004,1.32
107.5,482.815,82.0266,536.372,14.7558,59.307,1.33
107.688,486.54,82.7227,538.47,14.815,57.6193,1.34
107.863,490.266,83.404,540.572,14.8732,55.9373,1.35
108.025,493.993,84.0703,542.679,14.9306,54.2611,1.36
108.174,497.72,84.7216,544.791,14.9871,52.5906,1.37
108.31,501.447,85.358,546.908,15.0428,50.9259,1.38
108.432,505.175,85.9793,549.029,15.0976,49.2672,1.39
108.541,508.904,86.5856,551.154,15.1516,47.6145,1.4
108.637,512.632,87.1767,553.283,15.2048,45.9679,1.41
108.719,516.361,87.7528,555.417,15.2572,44.3275,1.42
108.788,520.091,88.3137,557.555,15.3088,42.6936,1.43
108.844,523.82,88.8594,559.696,15.3596,41.0663,1.44
108.886,527.55,89.3899,561.841,15.4096,39.4459,1.45
108.914,531.28,89.9051,563.991,15.4588,37.8326,1.46
108.928,535.01,90.4052,566.143,15.5073,36.227,1.47
108.929,538.74,90.8899,568.299,15.555,34.6293,1.48
108.917,542.47,91.3593,570.459,15.6019,33.0401,1.49
108.89,546.2,91.8134,572.622,15.6481,31.4602,1.5
108.85,549.93,92.2521,574.788,15.6936,29.8902,1.51
108.796,553.659,92.6754,576.957,15.7383,28.3311,1.52
108.728,557.389,93.0834,579.129,15.7823,26.7842,1.53
108.646,561.118,93.4759,581.304,15.8256,25.251,1.54
108.55,564.847,93.853,583.481,15.8682,23.7333,1.55
108.44,568.575,94.2146,585.662,15.9101,22.2336,1.56
108.317,572.303,94.5607,587.844,15.9512,20.7548,1.57
108.179,576.03,94.8914,590.029,15.9918,19.3011,1.58
108.027,579.757,95.2065,592.217,16.0316,17.8774,1.59
107.861,583.483,95.5061,594.407,16.0707,16.4908,1.6
107.68,587.209,95.7902,596.598,16.1092,15.1503,1.61
107.486,590.934,96.0587,598.792,16.147,13.8681,1.62
107.277,594.658,96.3116,600.987,16.1842,12.661,1.63
107.054,598.382,96.549,603.184,16.2207,11.5512,1.64
106.817,602.104,96.7707,605.383,16.2566,10.568,1.65
106.566,605.826,96.9769,607.584,16.2919,9.74856,1.66
106.3,609.546,97.1674,609.785,16.3265,9.13545,1.67
106.02,613.265,97.3423,611.989,16.3605,8.77065,1.68
105.725,616.984,97.5016,614.193,16.3938,8.68406,1.69
