Author: Spencer Rodgers, Date 1/6/2021, Score = 2.89696, Intercept Time = 3.16
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
0,0,214.711,976.678,0,1000,0
2.731,3.09815,216.541,975.688,-0.0478039,995.815,0.01
5.46195,6.19634,218.374,974.705,-0.0946174,991.636,0.02
8.19289,9.29455,220.21,973.728,-0.140443,987.463,0.03
10.9239,12.3927,222.05,972.757,-0.185284,983.298,0.04
13.6549,15.4909,223.892,971.792,-0.229141,979.138,0.05
16.386,18.5889,225.738,970.833,-0.27202,974.986,0.06
19.1172,21.6869,227.587,969.881,-0.313921,970.84,0.07
21.8486,24.7847,229.439,968.934,-0.354848,966.701,0.08
24.5801,27.8823,231.294,967.993,-0.394804,962.569,0.09
27.3119,30.9798,233.153,967.059,-0.433792,958.444,0.1
30.0439,34.0771,235.014,966.131,-0.471816,954.325,0.11
32.7762,37.1741,236.879,965.209,-0.508878,950.214,0.12
35.5088,40.2708,238.746,964.293,-0.544981,946.109,0.13
38.2418,43.3673,240.616,963.383,-0.58013,942.011,0.14
40.975,46.4634,242.49,962.479,-0.614327,937.919,0.15
43.7087,49.5592,244.366,961.582,-0.647576,933.835,0.16
46.4427,52.6547,246.246,960.69,-0.679881,929.758,0.17
49.1772,55.7498,248.128,959.805,-0.711245,925.688,0.18
51.9121,58.8445,250.013,958.926,-0.741672,921.624,0.19
54.6475,61.9388,251.901,958.054,-0.771166,917.568,0.2
57.3834,65.0326,253.792,957.187,-0.799731,913.519,0.21
60.1198,68.126,255.686,956.327,-0.82737,909.476,0.22
62.8567,71.2189,257.583,955.473,-0.854088,905.441,0.23
65.5941,74.3114,259.482,954.626,-0.879888,901.413,0.24
68.3322,77.4033,261.384,953.784,-0.904775,897.392,0.25
71.0708,80.4947,263.289,952.949,-0.928753,893.378,0.26
73.81,83.5856,265.197,952.12,-0.951827,889.371,0.27
76.5498,86.676,267.108,951.298,-0.974,885.372,0.28
79.2903,89.7657,269.021,950.482,-0.995277,881.379,0.29
82.0314,92.8549,270.937,949.672,-1.01566,877.394,0.3
84.7732,95.9436,272.855,948.868,-1.03516,873.416,0.31
87.5156,99.0316,274.776,948.071,-1.05378,869.445,0.32
90.2588,102.119,276.7,947.28,-1.07152,865.481,0.33
93.0026,105.206,278.626,946.495,-1.08838,861.524,0.34
95.7471,108.292,280.555,945.717,-1.10438,857.575,0.35
98.4924,111.378,282.487,944.945,-1.11951,853.633,0.36
101.238,114.462,284.421,944.18,-1.13379,849.698,0.37
103.985,117.547,286.357,943.421,-1.14721,845.77,0.38
106.733,120.63,288.296,942.668,-1.15978,841.85,0.39
109.481,123.713,290.238,941.922,-1.17151,837.937,0.4
112.23,126.795,292.182,941.182,-1.1824,834.031,0.41
114.979,129.877,294.128,940.448,-1.19246,830.133,0.42
117.73,132.958,296.077,939.721,-1.20169,826.242,0.43
120.481,136.038,298.028,939.001,-1.2101,822.358,0.44
123.233,139.117,299.982,938.287,-1.21769,818.481,0.45
125.986,142.196,301.938,937.579,-1.22447,814.612,0.46
128.74,145.274,303.896,936.878,-1.23045,810.75,0.47
131.494,148.351,305.856,936.183,-1.23562,806.896,0.48
134.249,151.428,307.819,935.494,-1.24,803.048,0.49
137.005,154.504,309.784,934.813,-1.24358,799.208,0.5
139.762,157.579,311.752,934.137,-1.24639,795.376,0.51
142.52,160.654,313.721,933.468,-1.24841,791.551,0.52
145.278,163.727,315.693,932.806,-1.24967,787.733,0.53
148.037,166.8,317.667,932.15,-1.25016,783.922,0.54
150.797,169.873,319.643,931.501,-1.24988,780.119,0.55
153.558,172.944,321.621,930.858,-1.24885,776.323,0.56
156.32,176.015,323.601,930.221,-1.24708,772.535,0.57
159.082,179.086,325.583,929.592,-1.24456,768.754,0.58
161.845,182.155,327.568,928.968,-1.24131,764.98,0.59
164.609,185.224,329.554,928.352,-1.23732,761.213,0.6
167.374,188.292,331.543,927.742,-1.23261,757.454,0.61
170.14,191.359,333.533,927.138,-1.22718,753.703,0.62
172.906,194.426,335.526,926.541,-1.22105,749.958,0.63
175.673,197.492,337.52,925.951,-1.2142,746.221,0.64
178.441,200.557,339.517,925.367,-1.20666,742.492,0.65
181.209,203.622,341.515,924.789,-1.19842,738.769,0.66
183.978,206.686,343.515,924.219,-1.1895,735.054,0.67
186.748,209.749,345.517,923.655,-1.1799,731.347,0.68
189.519,212.812,347.521,923.097,-1.16963,727.647,0.69
192.291,215.874,349.527,922.546,-1.15869,723.954,0.7
195.063,218.936,351.534,922.002,-1.14709,720.268,0.71
197.836,221.996,353.544,921.465,-1.13484,716.59,0.72
200.609,225.056,355.555,920.934,-1.12194,712.919,0.73
203.383,228.116,357.568,920.409,-1.1084,709.255,0.74
206.158,231.175,359.582,919.891,-1.09423,705.599,0.75
208.934,234.233,361.598,919.38,-1.07943,701.95,0.76
211.71,237.291,363.616,918.876,-1.06402,698.308,0.77
214.487,240.348,365.636,918.378,-1.04799,694.673,0.78
217.264,243.405,367.657,917.887,-1.03136,691.046,0.79
220.042,246.461,369.68,917.403,-1.01412,687.426,0.8
222.821,249.516,371.704,916.925,-0.996299,683.814,0.81
225.6,252.571,373.73,916.454,-0.97789,680.208,0.82
228.38,255.625,375.758,915.99,-0.958904,676.61,0.83
231.161,258.679,377.787,915.532,-0.939348,673.019,0.84
233.941,261.733,379.817,915.081,-0.919229,669.435,0.85
236.723,264.786,381.849,914.637,-0.898553,665.859,0.86
239.505,267.838,383.883,914.199,-0.877328,662.29,0.87
242.287,270.89,385.918,913.768,-0.855562,658.727,0.88
245.07,273.942,387.954,913.344,-0.833261,655.173,0.89
247.854,276.993,389.992,912.926,-0.810432,651.625,0.9
250.638,280.043,392.031,912.516,-0.787084,648.084,0.91
253.422,283.094,394.071,912.112,-0.763223,644.551,0.92
256.207,286.144,396.113,911.714,-0.738856,641.025,0.93
258.992,289.193,398.156,911.324,-0.713991,637.505,0.94
261.778,292.242,400.2,910.94,-0.688635,633.993,0.95
264.563,295.291,402.246,910.563,-0.662795,630.489,0.96
267.35,298.34,404.292,910.193,-0.636479,626.991,0.97
270.136,301.388,406.34,909.829,-0.609695,623.5,0.98
272.923,304.436,408.389,909.472,-0.582449,620.016,0.99
275.711,307.484,410.44,909.122,-0.55475,616.54,1
278.498,310.531,412.491,908.779,-0.526604,613.07,1.01
281.286,313.578,414.544,908.443,-0.498018,609.608,1.02
284.074,316.625,416.598,908.113,-0.469002,606.152,1.03
286.862,319.672,418.652,907.79,-0.439561,602.704,1.04
289.65,322.718,420.708,907.474,-0.409704,599.262,1.05
292.439,325.765,422.765,907.164,-0.379437,595.827,1.06
295.228,328.811,424.823,906.862,-0.348769,592.4,1.07
298.017,331.857,426.882,906.566,-0.317707,588.979,1.08
300.806,334.903,428.942,906.277,-0.286258,585.565,1.09
303.595,337.949,431.002,905.995,-0.25443,582.158,1.1
306.384,340.995,433.064,905.719,-0.222231,578.758,1.11
309.174,344.041,435.127,905.451,-0.189667,575.365,1.12
311.963,347.086,437.19,905.189,-0.156747,571.979,1.13
314.752,350.132,439.254,904.934,-0.123478,568.6,1.14
317.542,353.178,441.319,904.686,-0.0898677,565.227,1.15
320.331,356.224,443.385,904.444,-0.0559233,561.861,1.16
323.12,359.269,445.452,904.21,-0.0216525,558.502,1.17
325.91,362.315,447.52,903.982,0.0129372,555.15,1.18
328.699,365.361,449.588,903.761,0.0478384,551.805,1.19
331.488,368.407,451.657,903.547,0.0830436,548.466,1.2
334.277,371.453,453.726,903.339,0.118545,545.134,1.21
337.065,374.5,455.797,903.139,0.154336,541.809,1.22
339.854,377.546,457.868,902.945,0.190408,538.49,1.23
342.642,380.593,459.939,902.758,0.226754,535.178,1.24
345.43,383.639,462.012,902.578,0.263367,531.873,1.25
348.218,386.686,464.084,902.405,0.300239,528.574,1.26
351.006,389.734,466.158,902.239,0.337362,525.282,1.27
353.793,392.781,468.232,902.08,0.37473,521.997,1.28
356.58,395.829,470.306,901.927,0.412336,518.718,1.29
359.367,398.877,472.381,901.781,0.450171,515.446,1.3
362.153,401.926,474.456,901.642,0.488228,512.18,1.31
364.939,404.975,476.532,901.51,0.5265,508.921,1.32
367.725,408.024,478.608,901.385,0.56498,505.668,1.33
370.51,411.074,480.685,901.266,0.603661,502.422,1.34
373.294,414.124,482.762,901.155,0.642535,499.182,1.35
376.078,417.174,484.839,901.05,0.681595,495.948,1.36
378.862,420.225,486.917,900.952,0.720834,492.721,1.37
381.645,423.277,488.995,900.861,0.760245,489.501,1.38
384.428,426.329,491.073,900.777,0.79982,486.287,1.39
387.21,429.381,493.152,900.7,0.839553,483.079,1.4
389.991,432.434,495.231,900.629,0.879437,479.877,1.41
392.772,435.488,497.31,900.566,0.919464,476.682,1.42
395.552,438.542,499.389,900.509,0.959628,473.493,1.43
398.331,441.597,501.468,900.459,0.999922,470.311,1.44
401.11,444.652,503.548,900.416,1.04034,467.134,1.45
403.888,447.708,505.627,900.38,1.08087,463.964,1.46
406.665,450.765,507.707,900.351,1.12151,460.8,1.47
409.441,453.823,509.787,900.328,1.16226,457.643,1.48
412.217,456.881,511.867,900.313,1.2031,454.491,1.49
414.992,459.94,513.947,900.304,1.24403,451.346,1.5
417.766,462.999,516.027,900.302,1.28504,448.206,1.51
420.539,466.06,518.107,900.307,1.32613,445.073,1.52
423.311,469.121,520.187,900.319,1.36728,441.946,1.53
426.082,472.183,522.267,900.338,1.4085,438.825,1.54
428.853,475.246,524.347,900.364,1.44978,435.71,1.55
431.622,478.31,526.427,900.396,1.49111,432.602,1.56
434.391,481.375,528.506,900.435,1.53248,429.499,1.57
437.158,484.441,530.586,900.481,1.57389,426.402,1.58
439.924,487.508,532.665,900.534,1.61533,423.311,1.59
442.689,490.575,534.744,900.594,1.65679,420.226,1.6
445.454,493.644,536.823,900.661,1.69828,417.147,1.61
448.217,496.713,538.902,900.735,1.73978,414.074,1.62
450.978,499.784,540.98,900.815,1.78128,411.006,1.63
453.739,502.856,543.058,900.902,1.82279,407.945,1.64
456.499,505.929,545.136,900.997,1.86429,404.889,1.65
459.257,509.003,547.214,901.098,1.90579,401.839,1.66
462.014,512.078,549.291,901.205,1.94727,398.795,1.67
464.77,515.154,551.368,901.32,1.98872,395.757,1.68
467.524,518.231,553.444,901.442,2.03015,392.725,1.69
470.277,521.309,555.52,901.57,2.07155,389.698,1.7
473.029,524.389,557.596,901.705,2.11291,386.677,1.71
475.78,527.47,559.671,901.848,2.15423,383.662,1.72
478.529,530.552,561.746,901.996,2.1955,380.652,1.73
481.276,533.636,563.82,902.152,2.23672,377.648,1.74
484.023,536.72,565.893,902.315,2.27788,374.65,1.75
486.767,539.806,567.967,902.484,2.31898,371.657,1.76
489.511,542.894,570.039,902.661,2.36001,368.67,1.77
492.252,545.982,572.111,902.844,2.40097,365.688,1.78
494.992,549.072,574.182,903.034,2.44184,362.712,1.79
497.731,552.164,576.253,903.231,2.48264,359.741,1.8
500.468,555.256,578.323,903.434,2.52335,356.776,1.81
503.204,558.351,580.392,903.645,2.56397,353.816,1.82
505.937,561.446,582.461,903.862,2.60449,350.862,1.83
508.669,564.544,584.529,904.086,2.64492,347.913,1.84
511.4,567.642,586.596,904.317,2.68524,344.97,1.85
514.129,570.742,588.662,904.555,2.72545,342.032,1.86
516.856,573.844,590.728,904.799,2.76555,339.099,1.87
519.581,576.947,592.793,905.051,2.80553,336.172,1.88
522.304,580.052,594.857,905.309,2.84539,333.25,1.89
525.026,583.158,596.92,905.574,2.88513,330.334,1.9
527.746,586.266,598.982,905.845,2.92474,327.422,1.91
530.464,589.376,601.043,906.124,2.96422,324.516,1.92
533.18,592.487,603.103,906.409,3.00357,321.615,1.93
535.894,595.6,605.163,906.702,3.04277,318.72,1.94
538.606,598.715,607.221,907,3.08184,315.829,1.95
541.316,601.831,609.279,907.306,3.12076,312.944,1.96
544.025,604.949,611.335,907.619,3.15953,310.064,1.97
546.731,608.069,613.39,907.938,3.19815,307.189,1.98
549.435,611.19,615.445,908.264,3.23662,304.319,1.99
552.138,614.314,617.498,908.597,3.27493,301.454,2
554.838,617.439,619.55,908.937,3.31308,298.595,2.01
557.536,620.565,621.601,909.283,3.35106,295.74,2.02
560.232,623.694,623.651,909.636,3.38889,292.89,2.03
562.926,626.825,625.699,909.996,3.42654,290.046,2.04
565.617,629.957,627.747,910.363,3.46403,287.206,2.05
568.307,633.091,629.793,910.736,3.50134,284.372,2.06
570.994,636.227,631.838,911.116,3.53847,281.542,2.07
573.679,639.365,633.882,911.503,3.57543,278.717,2.08
576.362,642.505,635.924,911.897,3.61222,275.898,2.09
579.043,645.647,637.965,912.297,3.64882,273.083,2.1
581.721,648.791,640.005,912.704,3.68523,270.273,2.11
584.397,651.937,642.043,913.118,3.72147,267.467,2.12
587.071,655.085,644.08,913.539,3.75751,264.667,2.13
589.742,658.234,646.116,913.966,3.79337,261.871,2.14
592.411,661.386,648.15,914.4,3.82904,259.081,2.15
595.077,664.54,650.183,914.841,3.86452,256.295,2.16
597.741,667.696,652.214,915.288,3.8998,253.513,2.17
600.403,670.854,654.244,915.742,3.93489,250.737,2.18
603.062,674.014,656.272,916.203,3.96979,247.965,2.19
605.718,677.176,658.299,916.67,4.00449,245.198,2.2
608.372,680.341,660.324,917.145,4.03899,242.436,2.21
611.024,683.507,662.348,917.625,4.0733,239.678,2.22
613.673,686.676,664.37,918.113,4.1074,236.925,2.23
616.319,689.847,666.391,918.607,4.14131,234.176,2.24
618.963,693.019,668.409,919.108,4.17501,231.432,2.25
621.604,696.195,670.427,919.615,4.20852,228.693,2.26
624.243,699.372,672.442,920.129,4.24182,225.958,2.27
626.878,702.551,674.456,920.65,4.27492,223.228,2.28
629.512,705.733,676.468,921.178,4.30782,220.502,2.29
632.142,708.917,678.478,921.712,4.34051,217.781,2.3
634.77,712.103,680.487,922.252,4.373,215.064,2.31
637.395,715.292,682.493,922.8,4.40529,212.352,2.32
640.017,718.483,684.498,923.354,4.43737,209.644,2.33
642.636,721.676,686.501,923.914,4.46925,206.941,2.34
645.253,724.871,688.502,924.481,4.50092,204.242,2.35
647.866,728.069,690.502,925.055,4.53239,201.547,2.36
650.477,731.269,692.499,925.635,4.56366,198.857,2.37
653.085,734.472,694.495,926.222,4.59472,196.171,2.38
655.69,737.676,696.488,926.816,4.62558,193.489,2.39
658.292,740.884,698.48,927.416,4.65624,190.812,2.4
660.891,744.093,700.469,928.022,4.6867,188.139,2.41
663.487,747.305,702.457,928.635,4.71695,185.47,2.42
666.081,750.519,704.442,929.255,4.747,182.806,2.43
668.671,753.736,706.426,929.881,4.77684,180.146,2.44
671.258,756.955,708.407,930.514,4.80649,177.49,2.45
673.842,760.177,710.387,931.153,4.83594,174.838,2.46
676.423,763.401,712.364,931.799,4.86518,172.191,2.47
679.001,766.628,714.339,932.452,4.89423,169.547,2.48
681.576,769.857,716.312,933.111,4.92308,166.908,2.49
684.148,773.088,718.282,933.776,4.95173,164.273,2.5
686.716,776.323,720.251,934.448,4.98019,161.642,2.51
689.282,779.559,722.217,935.126,5.00845,159.015,2.52
691.844,782.798,724.181,935.811,5.03651,156.393,2.53
694.403,786.04,726.143,936.502,5.06438,153.774,2.54
696.959,789.284,728.102,937.2,5.09206,151.159,2.55
699.512,792.531,730.06,937.904,5.11954,148.549,2.56
702.061,795.78,732.014,938.615,5.14683,145.942,2.57
704.607,799.032,733.967,939.332,5.17394,143.339,2.58
707.15,802.286,735.917,940.056,5.20085,140.741,2.59
709.689,805.543,737.865,940.786,5.22757,138.146,2.6
712.225,808.803,739.81,941.522,5.25411,135.556,2.61
714.758,812.065,741.753,942.265,5.28046,132.969,2.62
717.287,815.33,743.693,943.014,5.30663,130.386,2.63
719.813,818.598,745.631,943.77,5.33261,127.807,2.64
722.336,821.868,747.566,944.532,5.35841,125.232,2.65
724.855,825.141,749.499,945.3,5.38403,122.661,2.66
727.37,828.416,751.43,946.075,5.40947,120.094,2.67
729.882,831.694,753.357,946.856,5.43473,117.53,2.68
732.391,834.975,755.282,947.644,5.45981,114.971,2.69
734.896,838.258,757.205,948.438,5.48472,112.415,2.7
737.398,841.545,759.125,949.238,5.50945,109.863,2.71
739.896,844.833,761.042,950.044,5.53401,107.315,2.72
742.39,848.125,762.957,950.857,5.55839,104.771,2.73
744.881,851.419,764.869,951.676,5.5826,102.23,2.74
747.369,854.716,766.778,952.502,5.60665,99.6932,2.75
749.852,858.016,768.684,953.333,5.63052,97.1601,2.76
752.332,861.318,770.588,954.171,5.65423,94.6307,2.77
754.809,864.624,772.489,955.016,5.67776,92.105,2.78
757.282,867.932,774.387,955.866,5.70114,89.5831,2.79
759.751,871.242,776.283,956.723,5.72435,87.0648,2.8
762.216,874.556,778.175,957.586,5.74739,84.5503,2.81
764.678,877.872,780.065,958.455,5.77028,82.0394,2.82
767.135,881.191,781.951,959.331,5.793,79.5322,2.83
769.59,884.513,783.835,960.213,5.81557,77.0287,2.84
772.04,887.837,785.716,961.101,5.83798,74.5289,2.85
774.486,891.165,787.594,961.995,5.86023,72.0327,2.86
776.929,894.495,789.469,962.895,5.88232,69.5402,2.87
779.368,897.828,791.341,963.802,5.90426,67.0514,2.88
781.803,901.164,793.21,964.714,5.92605,64.5663,2.89
784.234,904.502,795.077,965.633,5.94769,62.0848,2.9
786.661,907.844,796.94,966.558,5.96917,59.6071,2.91
789.085,911.188,798.8,967.489,5.99051,57.1331,2.92
791.504,914.535,800.656,968.426,6.0117,54.6628,2.93
793.92,917.885,802.51,969.37,6.03274,52.1964,2.94
796.331,921.238,804.361,970.319,6.05363,49.7338,2.95
798.739,924.594,806.208,971.275,6.07438,47.275,2.96
801.142,927.952,808.053,972.237,6.09498,44.8202,2.97
803.542,931.314,809.894,973.204,6.11544,42.3695,2.98
805.937,934.678,811.732,974.178,6.13576,39.9229,2.99
808.329,938.045,813.566,975.158,6.15594,37.4807,3
810.716,941.415,815.398,976.144,6.17598,35.043,3.01
813.1,944.788,817.226,977.136,6.19588,32.61,3.02
815.479,948.164,819.051,978.134,6.21564,30.1822,3.03
817.854,951.542,820.873,979.138,6.23527,27.76,3.04
820.225,954.924,822.691,980.148,6.25476,25.344,3.05
822.592,958.308,824.506,981.164,6.27412,22.9353,3.06
824.955,961.696,826.318,982.186,6.29334,20.5352,3.07
827.313,965.086,828.126,983.214,6.31243,18.1457,3.08
829.668,968.479,829.931,984.247,6.33138,15.7704,3.09
832.018,971.875,831.732,985.287,6.35021,13.415,3.1
834.364,975.274,833.53,986.333,6.3689,11.0901,3.11
836.706,978.676,835.325,987.385,6.38747,8.8173,3.12
839.043,982.081,837.116,988.442,6.40591,6.64681,3.13
841.376,985.489,838.903,989.506,6.42422,4.71718,3.14
843.705,988.9,840.687,990.575,6.44241,3.45189,3.15
